<http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete>,
<http://dbpedia.org/ontology/Insect>,jellyfish mosquito amphibian arthropods reptile rodent insect worm insects aphid mammal
<http://dbpedia.org/ontology/Holiday>,major_holiday holidays business_trip long_weekend long_holiday holiday vacation
<http://dbpedia.org/ontology/EthnicGroup>,ethnic_identity ethnic ethnic_groups specific_ethnicity racial_group other_ethnic_groups ethnicity ethnic_group cultural_group ethnic_minority same_ethnic_group
<http://dbpedia.org/ontology/Database>,log_files main_database web_service querying own_database databas local_database entire_database query database databases
<http://dbpedia.org/ontology/PersonFunction>,
<http://dbpedia.org/ontology/School>,school_program uni school college preschool high_school university college_classes summer_school local_school _school
<http://dbpedia.org/ontology/Monarch>,emperor absolute_monarch sovereign republic monarch monarchy monarchs absolute_monarchy constitutional_monarchy royal_family
<http://dbpedia.org/ontology/ComicsCreator>,
<http://dbpedia.org/ontology/Comedian>,professional_comedian comedienne stand_up_comedian great_comedian talk_show stand-up_comedian comedians talk_show_host other_comedians comedian comedy_show
<http://dbpedia.org/ontology/CanadianFootballTeam>,
<http://dbpedia.org/ontology/Writer>,writer other_writer professional_writer good_writer novelist filmmaker bad_writer author talented_writer great_writer screenwriter
<http://dbpedia.org/ontology/Valley>,mountains hills lake valley rolling_hills mountain canyon foothills
<http://dbpedia.org/ontology/Ginkgo>,ginkgo ginseng
<http://dbpedia.org/ontology/Hospital>,hospital intensive_care clinic local_hospital emergency_surgery hospice different_hospital urgent_care emergency_room emergency_department nurse
<http://dbpedia.org/ontology/Muscle>,little_muscle muscles more_muscle actual_muscle lean_muscle muscle much_muscle building_muscle muscle_mass lean_mass lean_muscle_mass
<http://dbpedia.org/ontology/Island>,island other_islands tiny_island islands little_island main_island whole_island main_land small_islands entire_island small_island
<http://dbpedia.org/ontology/Airport>,aiport international_airport major_airport airport layover air_port local_airport next_flight train_station bus_station small_airport
<http://dbpedia.org/ontology/Magazine>,magazines magazine same_magazine
<http://dbpedia.org/ontology/Country>,whole_country _country countries own_country single_country entire_country country nation united_states western_country other_country
<http://dbpedia.org/ontology/WomensTennisAssociationTournament>,
<http://dbpedia.org/ontology/Wrestler>,wrestler great_wrestler wrestling pro_wrestler main_eventer other_wrestler wrestlers better_wrestler babyface technical_wrestler good_wrestler
<http://dbpedia.org/ontology/Conifer>,conifer
<http://dbpedia.org/ontology/FormulaOneRacer>,
<http://dbpedia.org/ontology/Protein>,complex_carbs fats carbohydrates extra_protein carbs protein healthy_fats whey_protein more_protein protien high_protein
