superpattern 	subpattern 	confidence
724699	125666	0.042
315655	1079098	0.096
412274	239158	0.208
97021	406941	0.0070
53521	46006	0.018
48091	730128	0.0020
59278	635599	0.032
986176	690112	0.117
1401045	1571778	0.117
10165	32737	0.0
509589	259631	0.208
1395100	4179	0.15
858201	284015	0.208
642451	847554	0.063
1197	791802	0.0050
1092511	9141	0.208
1547570	1095937	0.15
47452	175687	0.0
678731	1263732	0.15
237028	1272078	0.117
1212028	1371378	0.208
3076	566582	0.0070
1082721	157146	0.208
277075	1592811	0.15
384170	508368	0.208
121344	115738	0.0080
104163	1228909	0.0040
71550	71392	0.0010
537848	974155	0.208
27911	32718	0.0030
37206	214775	0.063
104151	1424577	0.0040
1233055	9310	0.048
80481	40777	0.0070
1483792	448443	0.208
1181366	1412595	0.15
122403	918051	0.083
95640	723768	0.0010
1228925	1468867	0.208
83506	1132581	0.071
59761	394811	0.0050
1026	124443	0.0030
335	9760	0.0010
757177	1398986	0.117
537531	257908	0.208
16428	14955	0.0
1132447	1319302	0.208
1418	1500793	0.083
36875	1047564	0.0040
1255325	1610542	0.15
82355	227381	0.02
1197719	1395121	0.208
136296	1291936	0.083
1294026	262644	0.208
1608721	833591	0.208
459703	1130245	0.15
8060	573235	0.071
1079101	277254	0.117
1110501	395083	0.208
1082971	791911	0.208
1612606	156996	0.15
123905	56139	0.042
983228	1079756	0.15
1489355	710193	0.208
15050	16096	0.011
313310	1053	0.208
885	1498783	0.027
30829	165321	0.0010
587499	1865	0.208
1603276	124398	0.208
863	15596	0.0
56541	15104	0.0030
77978	43914	0.0050
749000	17975	0.15
648526	991202	0.055
1691	1303905	0.024
1527527	428760	0.117
1354707	1197544	0.208
1595649	1097156	0.208
1130317	403848	0.208
289513	1319372	0.117
1078509	277114	0.117
263973	986208	0.208
5717	814640	0.098
422314	43251	0.208
335	54082	0.0
8494	1600523	0.083
288364	34435	0.15
858646	4273	0.15
1186082	6896	0.0010
467894	1192	0.096
1272107	237063	0.208
644487	960640	0.15
6179	58326	0.0010
53388	16097	0.014
1287677	25144	0.062
3772	1194291	0.047
428768	790053	0.027
10640	1077536	0.0010
264374	107007	0.208
914963	1249139	0.301
478045	1104654	0.208
83659	27621	0.038
407107	1217116	0.15
944981	56139	0.208
256404	396422	0.0010
586799	400596	0.208
982684	257894	0.15
4755	48203	0.0010
1053123	661082	0.301
5800	1082820	0.0040
542499	1531746	0.117
9158	5088	0.096
4152	527180	0.071
756049	324368	0.208
320243	36604	0.208
22426	16393	0.012
219958	306764	0.071
837826	18488	0.208
664822	789889	0.208
89359	54163	0.022
32457	66186	0.071
640889	1495849	0.117
1260134	4008	0.208
10163	32700	0.0010
403850	1130354	0.208
406912	933659	0.208
1211991	1371335	0.15
514431	4752	0.117
4481	655625	0.0
107373	57202	0.137
1083023	982599	0.208
847541	642389	0.15
191064	78096	0.301
986209	464186	0.117
78098	842010	0.015
522747	65563	0.083
66665	37252	0.085
850950	641129	0.208
1205067	163641	0.436
399236	459595	0.15
1178	191043	0.0070
12768	1494	0.0060
1387880	640751	0.231
4464	69384	0.0010
154398	56136	0.0050
30135	208691	0.0010
31309	2132	0.0010
95653	183541	0.0010
13471	75469	0.0020
1214870	1132660	0.117
847573	185887	0.15
156954	1613254	0.15
28327	1505	0.018
406996	713418	0.208
757032	48852	0.208
1444452	395	0.15
1290968	25171	0.059
58290	154399	0.0
59111	1058	0.0060
1561184	1153477	0.208
772081	8093	0.055
1415	207793	0.083
19496	51630	0.0
43263	423968	0.063
315743	1078825	0.096
1435697	65676	0.231
1176	37800	0.0020
19277	21255	0.071
587641	4132	0.208
537822	258857	0.208
28584	127729	0.0010
57078	1143025	0.0030
119344	8270	0.02
1611297	113575	0.15
36552	27621	0.013
1448187	38781	0.208
1498772	1904	0.208
226502	1183	0.301
1357	620832	0.04
381368	724512	0.208
20094	875771	0.0
1354732	1395188	0.208
564208	95866	0.096
1132618	1212478	0.208
1611543	156434	0.15
287931	1069045	0.117
724523	382164	0.208
509421	1395148	0.208
752	67738	0.0030
1169	4491	0.0070
672280	918811	0.15
1395094	1197683	0.15
1069053	1113111	0.208
157116	1613200	0.208
1080037	1622955	0.047
104147	787426	0.0030
273215	385351	0.04
1082858	156758	0.208
1276210	1487411	0.208
400297	413427	0.15
982746	1082932	0.15
156925	1612375	0.208
114175	1131824	0.023
76773	50545	0.039
9138	5168	0.096
864	14685	0.0
127151	329672	0.0070
56996	991526	0.0090
46777	1354427	0.083
1306748	97026	0.071
798395	1525291	0.208
95865	148308	0.013
1094503	26151	0.208
560813	1548171	0.208
58342	213988	0.133
121737	37114	0.012
1367787	19375	0.208
107890	50150	0.046
156489	1611505	0.208
482083	985385	0.208
1555333	901711	0.15
145255	51284	0.069
608957	778988	0.117
55744	10644	0.0030
57202	26383	0.019
160387	1091336	0.15
2919	54544	0.0020
43990	1200160	0.033
982650	3086	0.301
139642	1666	0.159
130371	1181230	0.0020
336	1110552	0.011
859705	4286	0.15
1422425	1499378	0.15
1497616	5232	0.0020
173217	1055865	0.208
16148	28130	0.0010
13608	66692	0.0020
1475643	1224833	0.231
324452	436342	0.063
88608	678264	0.022
535866	38967	0.231
4128	157151	0.0070
67753	4459	0.0020
1082992	792131	0.208
59949	69725	0.0030
57111	1000311	0.0050
400531	587021	0.208
562474	6899	0.096
1130318	1495847	0.208
1224571	17609	0.208
1595866	573758	0.301
162229	3214	0.168
40779	146916	0.013
250635	370244	0.208
39401	10760	0.0040
25555	56136	0.03
928136	100839	0.231
1060241	431884	0.301
1209131	163653	0.231
17607	1595847	0.0020
535349	81287	0.208
125660	828112	0.0090
1611483	156903	0.15
107723	496127	0.035
370578	400102	0.15
1468951	1391012	0.208
51293	162565	0.0060
1160332	17605	0.12
10165	32718	0.0010
736990	1115287	0.15
1260285	141533	0.208
335	9716	0.0010
363030	940500	0.208
50547	65172	0.0010
347134	664871	0.208
24888	26487	0.023
105394	9155	0.012
664476	370921	0.208
1395182	4207	0.15
1495158	1545254	0.033
51291	250686	0.0060
75636	668902	0.015
51296	409245	0.042
1314656	480667	0.301
2432	580107	0.027
1214868	1132475	0.117
162381	213993	0.142
62861	664796	0.0030
428746	790070	0.027
1193204	1505	0.057
932015	4129	0.208
156533	1611270	0.15
13471	865	0.0070
864	14713	0.0
138598	1505	0.035
814745	1583895	0.117
262681	1294379	0.096
240064	1021912	0.231
57098	32720	0.0010
69426	59754	0.039
1197570	1354392	0.208
60391	161243	0.033
1404771	1319226	0.208
258032	983392	0.208
875771	66387	0.15
48829	932221	0.0070
59794	394853	0.0040
1197597	736958	0.208
1170857	232666	0.208
19516	884289	0.0
1263726	678761	0.208
14385	395	0.0020
407090	1494826	0.15
858704	115710	0.117
994641	845184	0.208
62860	1497258	0.0050
59346	986421	0.0030
28310	56141	0.0020
34396	43260	0.031
407115	858653	0.117
666260	262845	0.301
25597	16158	0.0040
315511	1078546	0.096
94155	51023	0.056
7602	759115	0.0030
4286	789225	0.108
1211986	1319365	0.208
220215	577182	0.269
1054	532145	0.0
1599309	226700	0.208
1565058	581159	0.208
56187	114279	0.0030
399410	1395127	0.15
8272	46010	0.0010
28584	127579	0.0
1094377	1297005	0.301
395080	33229	0.208
85327	1180729	0.0060
1487370	1275755	0.208
1433977	231242	0.117
778576	608381	0.15
1480488	491716	0.0010
1130527	46244	0.15
1494712	640901	0.208
69422	1182	0.029
641090	850895	0.15
663348	680406	0.101
1114256	1842	0.117
1422430	915022	0.208
1110552	22447	0.0010
83625	136702	0.027
1171285	3175	0.15
512388	412535	0.208
711	58758	0.012
1197703	789237	0.208
864	14722	0.0
326250	20900	0.15
986176	59802	0.231
150488	63683	0.057
17864	50267	0.0020
986231	845425	0.117
827754	1522089	0.3
8270	21073	0.0010
62369	92527	0.083
1422445	1499373	0.208
1379598	42604	0.208
1611486	156051	0.15
60444	370491	0.054
1531666	542070	0.15
3083	1177151	0.0050
790052	664504	0.208
1543487	306254	0.208
181093	71350	0.15
343045	662983	0.15
982738	156084	0.208
662967	347198	0.208
15103	16393	0.0020
148786	983747	0.062
14793	72391	0.163
423251	237888	0.035
476491	51299	0.12
1214837	1132657	0.15
2425	724051	0.096
60393	183894	0.032
1395173	6738	0.208
315765	277146	0.096
844521	10759	0.208
582450	4739	0.208
1092082	122	0.208
148674	148654	0.089
102267	1599963	0.018
1260151	1143084	0.208
315450	277198	0.096
878919	65060	0.021
1147868	67749	0.208
1607811	1255047	0.15
1620569	1527496	0.208
471941	18517	0.15
1176	117471	0.0090
1174592	1319889	0.052
